date,open,high,low,close,volume
2024-12-30 00:00:00,93551.0,95135.0,91256.6,92620.71,19241.354987192357
2024-12-31 00:00:00,92346.7,96400.0,91887.13,93383.32,15102.39898984
2025-01-01 00:00:00,93758.0,95287.0,93072.0,94757.0,546.4188032799949
2025-01-02 00:00:00,94757.0,97887.0,94521.0,97035.0,576.9621790599837
2025-01-03 00:00:00,96805.3,99028.0,96016.63,98136.51,10997.652973953225
2025-01-04 00:00:00,98111.1,98781.0,97516.65,98209.85,3517.5265187003943
2025-01-05 00:00:00,98208.9,98889.0,97250.0,98345.33,3035.8993850199513
2025-01-06 00:00:00,98306.3,102560.0,97900.0,102279.41,18260.40580569346
2025-01-07 00:00:00,102300.0,102760.0,96100.0,96941.98,20002.135454377003
2025-01-08 00:00:00,96932.2,97346.0,92500.0,95202.0,18447.181323905963
2025-01-09 00:00:00,95060.1,95479.0,91168.5,92547.44,13551.258817411219
2025-01-10 00:00:00,92547.44,95930.0,92200.0,94701.18,15485.422732613695
2025-01-11 00:00:00,94698.9,95115.0,93804.05,94565.02,3101.286412390462
2025-01-12 00:00:00,94562.1,95534.0,93652.2,94580.0,2690.4715358203007
2025-01-13 00:00:00,94450.0,96069.0,89005.8,94506.45,18207.302209261008
2025-01-14 00:00:00,94487.1,97451.0,94311.36,96534.96,13099.077382647709
2025-01-15 00:00:00,96534.97,100731.7,96400.0,100510.23,16495.116391189284
2025-01-16 00:00:00,100490.0,100880.0,97277.58,99981.78,14729.88297037025
2025-01-17 00:00:00,99976.7,105970.0,99937.81,104107.0,25269.05390908933
2025-01-18 00:00:00,104040.0,104960.0,102200.0,104435.0,10139.987014914674
2025-01-19 00:00:00,104382.0,106370.0,99518.0,101211.13,18536.342341544056
2025-01-20 00:00:00,101217.78,109590.0,99416.27,102145.43,41376.56986812438
2025-01-21 00:00:00,102142.1,107360.0,100051.0,106159.26,23287.178917694207
2025-01-22 00:00:00,106162.8,106431.34,103100.0,103667.11,12633.461130559328
2025-01-23 00:00:00,103202.35,107000.0,101200.01,103973.87,36524.70614164
2025-01-24 00:00:00,103920.2,107200.0,102700.0,104850.27,15234.929520695625
2025-01-25 00:00:00,104840.4,105294.0,104100.0,104733.56,4180.3313557907795
2025-01-26 00:00:00,104705.3,105478.8,102452.24,102563.0,5848.836820460883
2025-01-27 00:00:00,102565.28,103300.0,97688.7,102062.42,28684.121990921118
2025-01-28 00:00:00,102133.3,103850.0,100200.0,101299.8,11696.64776047528
2025-01-29 00:00:00,101774.62,104829.64,101356.1,103737.04,15331.76315168
2025-01-30 00:00:00,103708.1,106520.0,103252.5,104742.64,15357.866388636676
2025-01-31 00:00:00,104742.63,106090.0,101500.0,102411.26,15465.923377738334
2025-02-01 00:00:00,102406.0,102790.0,100147.0,100623.85,4839.742174071411
2025-02-02 00:00:00,100690.0,101460.0,96100.0,97676.52,15319.464714296491
2025-02-03 00:00:00,97696.0,102599.85,91000.0,101416.34,49133.09373448
2025-02-04 00:00:00,101460.15,101812.23,96127.0,97795.05,18233.379262074453
2025-02-05 00:00:00,97795.06,99230.49,96161.01,96638.33,10627.684578734792
